,name,price,address,information,url,brand,image_url,model,store,type,fuel,used_status,used_distance,Giảm xóc - Phuộc,Phanh,Động cơ,Đồng hồ,Khoá,Hệ thống đèn,Hệ thống tự động,Công nghệ kết nối,Khác
207,Piaggio Liberty 125,10000000,Tp. Hà Nội,"{""brand"": ""Piaggio"", ""image_url"": ""https://cdn.okxe.vn/products/732/1697732/1697732_209408_2._20230615063830_awTUyXqr_l_800x800.jpg"", ""model"": ""Liberty"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Phuộc Bottom-link Uni-Trak"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/piaggio-liberty-125-1697732,Piaggio,https://cdn.okxe.vn/products/732/1697732/1697732_209408_2._20230615063830_awTUyXqr_l_800x800.jpg,Liberty,xe máy PHÚ THỊNH,1,Gasolin,used,5000,Phuộc Bottom-link Uni-Trak,,Phun xăng điện tử Fi / PGM-FI,,,,,,
208,Honda Scoopy 50cc,8500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/730/1697730/1697730_139109_IMG_5043_20230615063816_4710tgHU_l_800x800.jpg"", ""model"": ""Scoopy"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/honda-scoopy-50cc-1697730,Honda,https://cdn.okxe.vn/products/730/1697730/1697730_139109_IMG_5043_20230615063816_4710tgHU_l_800x800.jpg,Scoopy,Xe máy Thanh Tùng,1,Gasolin,used,5000,,,,,,,,,
209,Yamaha Nozza 113,7800000,Tp. Hà Nội,"{""brand"": ""Yamaha"", ""image_url"": ""https://cdn.okxe.vn/products/727/1697727/1697727_139109_IMG_E2462_20230615063700_XPahrPGe_l_800x800.jpg"", ""model"": ""Nozza"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/yamaha-nozza-113-1697727,Yamaha,https://cdn.okxe.vn/products/727/1697727/1697727_139109_IMG_E2462_20230615063700_XPahrPGe_l_800x800.jpg,Nozza,Xe máy Thanh Tùng,1,Gasolin,used,5000,,,,,,,,,
210,SYM Elite 50,11500000,Tp. Hà Nội,"{""brand"": ""SYM"", ""image_url"": ""https://cdn.okxe.vn/products/726/1697726/1697726_139109_IMG_E2018_20230615063644_rQ7Jss3q_l_800x800.jpg"", ""model"": ""Elite"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh thắng đùm/ tang trống""}",https://api.okxe.vn/products/sym-elite-50-1697726,SYM,https://cdn.okxe.vn/products/726/1697726/1697726_139109_IMG_E2018_20230615063644_rQ7Jss3q_l_800x800.jpg,Elite,Xe máy Thanh Tùng,1,Gasolin,used,5000,,Phanh thắng đùm/ tang trống,,,,,,,
211,Piaggio Liberty 125,10000000,Tp. Hà Nội,"{""brand"": ""Piaggio"", ""image_url"": ""https://cdn.okxe.vn/products/720/1697720/1697720_209408_5._20230615063451_Y9S47WRU_l_800x800.jpg"", ""model"": ""Liberty"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Phuộc Bottom-link Uni-Trak"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI""}",https://api.okxe.vn/products/piaggio-liberty-125-1697720,Piaggio,https://cdn.okxe.vn/products/720/1697720/1697720_209408_5._20230615063451_Y9S47WRU_l_800x800.jpg,Liberty,xe máy PHÚ THỊNH,1,Gasolin,used,5000,Phuộc Bottom-link Uni-Trak,,Phun xăng điện tử Fi / PGM-FI,,,,,,
212,Ducati Mini 110,10000000,Tp. Hà Nội,"{""brand"": ""Ducati"", ""image_url"": ""https://cdn.okxe.vn/products/722/1697722/1697722_209408_1._20230615063515_HUDfoHW4_l_800x800.jpg"", ""model"": ""Mini"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Giảm xóc đơn/ monoshock"", ""Phanh"": ""Phanh Đĩa"", ""Động cơ"": ""Phun xăng điện tử Fi / PGM-FI"", ""Đồng hồ"": ""Đồng hồ LCD"", ""Hệ thống đèn"": ""Đèn LED""}",https://api.okxe.vn/products/ducati-mini-110-1697722,Ducati,https://cdn.okxe.vn/products/722/1697722/1697722_209408_1._20230615063515_HUDfoHW4_l_800x800.jpg,Mini,xe máy PHÚ THỊNH,2,Gasolin,used,5000,Giảm xóc đơn/ monoshock,Phanh Đĩa,Phun xăng điện tử Fi / PGM-FI,Đồng hồ LCD,,Đèn LED,,,
213,Honda Air Blade 110,9500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/718/1697718/1697718_209408_2._20230615063346_FEbIeZ46_l_800x800.jpg"", ""model"": ""Air Blade"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Giảm xóc thủy lực"", ""Phanh"": ""Phanh Đĩa""}",https://api.okxe.vn/products/honda-air-blade-110-1697718,Honda,https://cdn.okxe.vn/products/718/1697718/1697718_209408_2._20230615063346_FEbIeZ46_l_800x800.jpg,Air Blade,xe máy PHÚ THỊNH,1,Gasolin,used,5000,Giảm xóc thủy lực,Phanh Đĩa,,,,,,,
214,SYM Attila 50,11500000,Tp. Hà Nội,"{""brand"": ""SYM"", ""image_url"": ""https://cdn.okxe.vn/products/719/1697719/1697719_139109_IMG_E4539_20230615063400_7j5AuD8F_l_800x800.jpg"", ""model"": ""Attila"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh thắng đùm/ tang trống,Phanh Đĩa""}",https://api.okxe.vn/products/sym-attila-50-1697719,SYM,https://cdn.okxe.vn/products/719/1697719/1697719_139109_IMG_E4539_20230615063400_7j5AuD8F_l_800x800.jpg,Attila,Xe máy Thanh Tùng,1,Gasolin,used,5000,,"Phanh thắng đùm/ tang trống,Phanh Đĩa",,,,,,,
215,Honda Scoopy 50cc,8500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/721/1697721/1697721_139109_IMG_E1931_20230615063455_Urj0Rzir_l_800x800.jpg"", ""model"": ""Scoopy"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/honda-scoopy-50cc-1697721,Honda,https://cdn.okxe.vn/products/721/1697721/1697721_139109_IMG_E1931_20230615063455_Urj0Rzir_l_800x800.jpg,Scoopy,Xe máy Thanh Tùng,1,Gasolin,used,5000,,,,,,,,,
216,SYM Attila 125,5500000,Tp. Hà Nội,"{""brand"": ""SYM"", ""image_url"": ""https://cdn.okxe.vn/products/717/1697717/1697717_209408_8._20230615063242_OWCFQGgk_l_800x800.jpg"", ""model"": ""Attila"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/sym-attila-125-1697717,SYM,https://cdn.okxe.vn/products/717/1697717/1697717_209408_8._20230615063242_OWCFQGgk_l_800x800.jpg,Attila,xe máy PHÚ THỊNH,1,Gasolin,used,5000,,,,,,,,,
217,Honda Air Blade 110,13500000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/713/1697713/1697713_209408_4._20230615063136_pTf5GZhF_l_800x800.jpg"", ""model"": ""Air Blade"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""1"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Giảm xóc - Phuộc"": ""Giảm xóc thủy lực"", ""Phanh"": ""Phanh Đĩa""}",https://api.okxe.vn/products/honda-air-blade-110-1697713,Honda,https://cdn.okxe.vn/products/713/1697713/1697713_209408_4._20230615063136_pTf5GZhF_l_800x800.jpg,Air Blade,xe máy PHÚ THỊNH,1,Gasolin,used,5000,Giảm xóc thủy lực,Phanh Đĩa,,,,,,,
218,Honda Super Cub 50,8000000,Tp. Hà Nội,"{""brand"": ""Honda"", ""image_url"": ""https://cdn.okxe.vn/products/715/1697715/1697715_139109_IMG_E4157_20230615063200_iYExc0sw_l_800x800.jpg"", ""model"": ""Super Cub"", ""store"": ""Xe máy Thanh Tùng"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000, ""Phanh"": ""Phanh thắng đùm/ tang trống""}",https://api.okxe.vn/products/honda-super-cub-50-1697715,Honda,https://cdn.okxe.vn/products/715/1697715/1697715_139109_IMG_E4157_20230615063200_iYExc0sw_l_800x800.jpg,Super Cub,Xe máy Thanh Tùng,2,Gasolin,used,5000,,Phanh thắng đùm/ tang trống,,,,,,,
219,Bosscity KPR 125,22500000,Tp. Hà Nội,"{""brand"": ""Bosscity"", ""image_url"": ""https://cdn.okxe.vn/products/716/1697716/1697716_209408_1._20230615063222_hOBjde2f_l_800x800.jpg"", ""model"": ""KPR"", ""store"": ""xe máy PHÚ THỊNH"", ""type"": ""2"", ""fuel"": ""Gasolin"", ""used_status"": ""used"", ""used_distance"": 5000}",https://api.okxe.vn/products/bosscity-kpr-125-1697716,Bosscity,https://cdn.okxe.vn/products/716/1697716/1697716_209408_1._20230615063222_hOBjde2f_l_800x800.jpg,KPR,xe máy PHÚ THỊNH,2,Gasolin,used,5000,,,,,,,,,
